,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(1.045,35.555)",0.0,13155.755083458112,"(1.045,35.555)","(1.045,35.555)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.046,35.544) → (1.046,35.543)",0.15387998405214,13151.220811040528,"(1.046,35.544)","(1.046,35.543)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.046,35.552)",0.0,13151.103406980867,"(1.046,35.552)","(1.046,35.552)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.56,35.516)",0.13722442371188,43345.67331523944,"(0.56,35.516)","(0.56,35.516)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.573,35.509) → (0.571,35.506)",0.31843153556614,43328.556992905615,"(0.573,35.509)","(0.571,35.506)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.58,35.512) → (0.578,35.509)",0.33240671786438,43328.94380063823,"(0.58,35.512)","(0.578,35.509)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.051,35.553)",0.0,13189.763089951102,"(1.051,35.553)","(1.051,35.553)",West Potok,West Potok,Elegeyo-Marakwet,Elegeyo-Marakwet
"(-0.532,37.463) → (-0.507,37.414)",6.1756277374749,5315.883792865012,"(-0.532,37.463)","(-0.507,37.414)",Mbeere District,Meru South District,Embu,Embu
"(-0.533,37.463) → (-0.503,37.419)",5.9140009625418,5318.157804076903,"(-0.533,37.463)","(-0.503,37.419)",Mbeere District,Meru South District,Embu,Embu
"(-0.549,37.463) → (-0.532,37.399)",7.384639113574701,5320.038889548892,"(-0.549,37.463)","(-0.532,37.399)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.534,37.38)",9.4401467524719,5327.257213374478,"(-0.549,37.463)","(-0.534,37.38)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.541,37.395)",7.6895905186695,5333.579883695161,"(-0.549,37.463)","(-0.541,37.395)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.573,37.412)",6.3037688443353,5332.511679184778,"(-0.549,37.463)","(-0.573,37.412)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.522,37.403)",7.380163243040401,5318.205280953694,"(-0.549,37.463)","(-0.522,37.403)",Mbeere District,Meru South District,Embu,Kirinyaga
"(-0.627,37.601) → (-0.628,37.601)",0.13583941467266,41379.16068062967,"(-0.627,37.601)","(-0.628,37.601)",Mbeere District,Mbeere District,Embu,Embu
"(-0.632,37.601) → (-0.633,37.602)",0.12763264112050002,41428.27165474846,"(-0.632,37.601)","(-0.633,37.602)",Mbeere District,Mbeere District,Embu,Embu
"(-0.634,37.592) → (-0.633,37.593)",0.13053833336389,41308.481547946176,"(-0.634,37.592)","(-0.633,37.593)",Mbeere District,Mbeere District,Embu,Embu
"(-0.634,37.601) → (-0.635,37.602)",0.21081664228053,41429.91415715049,"(-0.634,37.601)","(-0.635,37.602)",Mbeere District,Mbeere District,Embu,Embu
"(-0.636,37.595) → (-0.636,37.596)",0.033514507305907,41323.09276998442,"(-0.636,37.595)","(-0.636,37.596)",Mbeere District,Mbeere District,Embu,Embu
"(-0.641,37.596) → (-0.642,37.597)",0.16548753729985,41290.81829806777,"(-0.641,37.596)","(-0.642,37.597)",Mbeere District,Mbeere District,Embu,Embu
