,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
88,2020-04-06 1600,26.0,26.0,0.0,0.0,7.493194291140946,3.8232421875,7.493194291140946,3.9111328125,122220303031.0,122220303120.0,2
89,2020-04-06 1600,2419.0,1690.8,728.2,43.042912873862,7.318879600953956,3.8232421875,7.318879600953956,3.8232421875,122220303211.0,122220303211.0,2
90,2020-04-06 1600,180.0,203.2,-23.2,-11.361410381977999,7.318879600953956,3.8232421875,7.318879600953956,3.9111328125,122220303211.0,122220303300.0,2
91,2020-04-06 1600,103.0,132.6,-29.6,-22.155688622754003,7.4060455628667725,3.9111328125,7.493194291140946,3.8232421875,122220303122.0,122220303031.0,2
92,2020-04-06 1600,132.0,177.6,-45.6,-25.531914893617,7.4060455628667725,3.9111328125,7.493194291140946,3.9990234375,122220303122.0,122220303121.0,2
93,2020-04-06 1600,106.0,92.0,14.0,15.05376344086,7.4060455628667725,3.9111328125,7.318879600953956,3.9990234375,122220303122.0,122220303301.0,2
94,2020-04-06 1600,4383.0,3411.8,971.2,28.457571495546,7.318879600953956,3.9111328125,7.318879600953956,3.9111328125,122220303300.0,122220303300.0,2
95,2020-04-06 1600,239.0,322.6,-83.6,-25.834363411619,7.318879600953956,3.9111328125,7.4060455628667725,3.9111328125,122220303300.0,122220303122.0,2
96,2020-04-06 1600,18.0,26.0,-8.0,-29.62962962963,7.318879600953956,3.9111328125,7.493194291140946,3.9111328125,122220303300.0,122220303120.0,2
97,2020-04-06 1600,46.0,61.0,-15.0,-24.193548387097,7.318879600953956,3.9111328125,7.4060455628667725,3.9990234375,122220303300.0,122220303123.0,2
98,2020-04-06 1600,69.0,49.2,19.8,39.442231075696995,7.318879600953956,3.9111328125,7.318879600953956,3.9990234375,122220303300.0,122220303301.0,2
99,2020-04-06 1600,284.0,336.2,-52.2,-15.480427046263001,7.4060455628667725,3.9111328125,7.318879600953956,3.8232421875,122220303122.0,122220303211.0,2
100,2020-04-06 1600,331.0,350.4,-19.4,-5.5207740466705,7.318879600953956,3.9111328125,7.318879600953956,3.8232421875,122220303300.0,122220303211.0,2
101,2020-04-06 1600,728.0,952.2,-224.2,-23.520772135963,7.4060455628667725,3.9111328125,7.4060455628667725,3.8232421875,122220303122.0,122220303033.0,2
102,2020-04-06 1600,708.0,837.0,-129.0,-15.393794749403,7.4060455628667725,3.9111328125,7.318879600953956,3.9111328125,122220303122.0,122220303300.0,2
103,2020-04-06 1600,8611.0,8876.0,-265.0,-2.9852427621944,7.4060455628667725,3.9111328125,7.4060455628667725,3.9111328125,122220303122.0,122220303122.0,2
104,2020-04-06 1600,442.0,623.8,-181.8,-29.097311139565,7.4060455628667725,3.9111328125,7.493194291140946,3.9111328125,122220303122.0,122220303120.0,2
105,2020-04-06 1600,710.0,898.0,-188.0,-20.912124582870003,7.4060455628667725,3.9111328125,7.4060455628667725,3.9990234375,122220303122.0,122220303123.0,2
106,2020-04-06 1600,17.0,17.0,0.0,0.0,7.580325587602061,3.9111328125,7.4060455628667725,3.9111328125,122220303102.0,122220303122.0,2
107,2020-04-06 1600,42.0,36.6,5.4,14.361702127660001,7.580325587602061,3.9111328125,7.493194291140946,3.9111328125,122220303102.0,122220303120.0,2
108,2020-04-06 1600,498.0,281.4,216.6,76.699716713881,7.318879600953956,3.9990234375,7.318879600953956,3.9990234375,122220303301.0,122220303301.0,2
109,2020-04-06 1600,27.0,29.8,-2.8,-9.090909090909099,7.493194291140946,3.9990234375,7.4060455628667725,3.9111328125,122220303121.0,122220303122.0,2
